Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
1993-07-01,16.832,115.458,515.625,2.9340333264274596,699.151,650.8490333264274,48.301966673572565,73.75016269732862,16.514029158221902,2.4074913716779354,0.4196566015678244,6.908660171203727
1993-10-01,18.316,141.019,529.534,3.245463062252045,746.417,692.1144630622521,54.30253693774796,70.94345386024166,18.89279049110618,2.4538562224600993,0.4348056196806938,7.275093806511368
1994-01-01,18.932,122.361,526.741,3.113282083396912,727.521,671.1472820833969,56.37371791660303,72.4021712088036,16.818895949395277,2.6022616529282314,0.4279302017944378,7.748740987078453
1994-04-01,19.465,129.287,555.921,3.310291612804413,767.039,707.9832916128046,59.05570838719541,72.47623654077564,16.85533590860439,2.53768061337168,0.43156757515646693,7.699179362091811
1994-07-01,20.132,142.417,544.221,3.3590289502601616,770.302,710.1290289502601,60.172971049739886,70.65034233326669,18.48846296647289,2.61352041147498,0.43606649732963976,7.8116077914558035
1994-10-01,20.457,150.947,553.445,3.689362292095185,788.991,728.5383622920953,60.45263770790473,70.1459205491571,19.131650424402814,2.592805241124424,0.46760511743418937,7.662018667881474
1995-01-01,18.478,155.253,567.68,3.646613284801483,803.103,745.0576132848014,58.04538671519856,70.68582734717714,19.331642392071753,2.3008256724230893,0.454065454219631,7.227639134108397
1995-04-01,18.669,153.136,594.377,3.8054104319381716,826.947,769.9874104319381,56.959589568061915,71.87606944580487,18.518236356138907,2.257581199278793,0.46017585551893553,6.887937143258506
1995-07-01,19.376,159.12,591.549,4.107651336380005,830.271,774.15265133638,56.11834866361994,71.24770105182525,19.164826905913852,2.333695865566785,0.49473621701589066,6.759039959678219
1995-10-01,19.03,156.215,607.583,4.454316195602417,842.468,787.2823161956024,55.18568380439751,72.11941581163913,18.54254404915083,2.2588395048832717,0.5287223010965897,6.550478333230165
1996-01-01,18.009,162.36,636.39,4.475229140487672,875.999,821.2342291404877,54.76477085951228,72.64734320472968,18.534267733182343,2.0558242646395715,0.5108714896349963,6.2516933078133965
1996-04-01,17.766,171.925,673.639,4.700821816444397,921.58,868.0308218164445,53.54917818355557,73.0960958354131,18.655461273031097,1.9277762104212326,0.5100828811871347,5.810583799947435
1996-07-01,18.224,172.576,674.219,5.080138199535369,923.88,870.0991381995354,53.78086180046455,72.97690176213362,18.6794821838334,1.9725505476901761,0.5498699181208998,5.821195588221906
1996-10-01,18.855,175.295,689.392,5.650252486949921,946.372,889.19225248695,57.17974751304996,72.84577312092921,18.5228430257869,1.992345504727528,0.5970434973720611,6.041994851184309
1997-01-01,17.471,176.905,724.327,4.87267136548996,978.033,923.5756713654899,54.45732863451008,74.05956649724497,18.08783548203384,1.7863405427015244,0.4982113451683081,5.568046132851353
1997-04-01,19.752,180.472,739.297,4.97797948078537,1004.394,944.4989794807854,59.895020519214654,73.60627403190382,17.968247520395384,1.9665589400175625,0.4956201929507116,5.963299314732531
1997-07-01,20.43,190.457,757.034,5.121171253330231,1032.495,973.0421712533301,59.45282874666975,73.32083932609844,18.44628787548608,1.9787020760391092,0.4959996177541035,5.758171104622275
1997-10-01,20.184,181.51,778.63,5.7016048797416685,1045.441,986.0256048797416,59.41539512025838,74.47861715773534,17.362051038748238,1.9306684930091702,0.5453779677420025,5.6832853427652426
1998-01-01,19.3,178.769,800.573,4.977825673412323,1063.588,1003.6198256734123,59.9681743265877,75.27096958596749,16.808106146364945,1.8146124251119795,0.468021985337586,5.638289857217992
1998-04-01,20.035,175.397,820.909,5.211109139995575,1081.512,1021.5521091399955,59.95989086000441,75.90382723446434,16.217758101620696,1.852499093861187,0.4818355358050188,5.544080034248757
1998-07-01,20.667,180.118,841.613,5.55629221251297,1108.773,1047.9542922125129,60.81870778748703,75.90489667407125,16.244803940932904,1.8639523148561523,0.5011208076416878,5.485226262498007
1998-10-01,20.696,176.44,861.701,6.822385088726044,1127.159,1065.6593850887261,61.499614911273966,76.44893045258033,15.653514721525532,1.8361207247602158,0.6052726446513796,5.456161456482533
1999-01-01,19.709,186.026,869.78,5.760837779003143,1142.659,1081.2758377790033,61.38316222099684,76.11894712245734,16.280097561914797,1.7248365435357353,0.504160714526656,5.371958057565453
1999-04-01,20.272,184.42,885.759,6.131279506820679,1158.005,1096.5822795068207,61.42272049317944,76.49008423970535,15.92566526051269,1.7505969317921768,0.5294691738654563,5.304184394124329
1999-07-01,21.497,187.683,904.174,6.399587790687562,1182.148,1119.7535877906876,62.39441220931235,76.48568537949564,15.876438483167929,1.8184694302236268,0.5413525032980272,5.27805420381478
1999-10-01,21.954,192.1,929.997,6.557344827793121,1215.337,1150.608344827793,64.72865517220703,76.5217384149417,15.806315449953386,1.8064125423647925,0.539549509954286,5.325984082785848
2000-01-01,20.974,202.205,976.6,6.8821913958663945,1272.073,1206.6611913958664,65.41180860413374,76.77232360092542,15.895707243216387,1.6488047462684925,0.5410217334906404,5.142142676099071
2000-04-01,21.946,201.051,986.85,7.3997012962951665,1284.187,1217.2467012962952,66.94029870370468,76.84628484792326,15.655897466646213,1.708941143307011,0.5762168045849372,5.21265973753859
2000-07-01,22.426,185.57,1011.116,7.250737702602386,1291.65,1226.3627377026023,65.28726229739777,78.28095846398017,14.366895056710408,1.736228854565865,0.5613546783263567,5.0545629464172
